npm verbose cli /home/trinity-bowling/.nvm/versions/node/v24.11.0/bin/node /home/trinity-bowling/.nvm/versions/node/v24.11.0/bin/npm
npm info using npm@11.6.1
npm info using node@v24.11.0
npm verbose title npm install
npm verbose argv "install" "--legacy-peer-deps" "--loglevel" "verbose"
npm verbose logfile logs-max:10 dir:/home/trinity-bowling/.npm/_logs/2025-11-10T21_11_19_454Z-
npm verbose logfile /home/trinity-bowling/.npm/_logs/2025-11-10T21_11_19_454Z-debug-0.log
npm http cache https://registry.npmjs.org/cypress 14ms (cache hit)
npm http cache https://registry.npmjs.org/tmp 6ms (cache hit)
npm http cache https://registry.npmjs.org/arch 8ms (cache hit)
npm http cache https://registry.npmjs.org/chalk 7ms (cache hit)
npm http cache https://registry.npmjs.org/dayjs 7ms (cache hit)
npm http cache https://registry.npmjs.org/debug 8ms (cache hit)
npm http cache https://registry.npmjs.org/execa 9ms (cache hit)
npm http cache https://registry.npmjs.org/hasha 5ms (cache hit)
npm http cache https://registry.npmjs.org/yauzl 4ms (cache hit)
npm http cache https://registry.npmjs.org/buffer 7ms (cache hit)
npm http cache https://registry.npmjs.org/listr2 12ms (cache hit)
npm http cache https://registry.npmjs.org/lodash 16ms (cache hit)
npm http cache https://registry.npmjs.org/ospath 10ms (cache hit)
npm http cache https://registry.npmjs.org/semver 9ms (cache hit)
npm http cache https://registry.npmjs.org/ci-info 8ms (cache hit)
npm http cache https://registry.npmjs.org/figures 10ms (cache hit)
npm http cache https://registry.npmjs.org/process 8ms (cache hit)
npm http cache https://registry.npmjs.org/bluebird 9ms (cache hit)
npm http cache https://registry.npmjs.org/cachedir 8ms (cache hit)
npm http cache https://registry.npmjs.org/enquirer 8ms (cache hit)
npm http cache https://registry.npmjs.org/fs-extra 18ms (cache hit)
npm http cache https://registry.npmjs.org/minimist 4ms (cache hit)
npm http cache https://registry.npmjs.org/blob-util 2ms (cache hit)
npm http cache https://registry.npmjs.org/commander 4ms (cache hit)
npm http cache https://registry.npmjs.org/tree-kill 5ms (cache hit)
npm http cache https://registry.npmjs.org/untildify 8ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2ftmp 9ms (cache hit)
npm http cache https://registry.npmjs.org/cli-cursor 8ms (cache hit)
npm http cache https://registry.npmjs.org/cli-table3 9ms (cache hit)
npm http cache https://registry.npmjs.org/executable 9ms (cache hit)
npm http cache https://registry.npmjs.org/common-tags 9ms (cache hit)
npm http cache https://registry.npmjs.org/extract-zip 7ms (cache hit)
npm http cache https://registry.npmjs.org/log-symbols 7ms (cache hit)
npm http cache https://registry.npmjs.org/pretty-bytes 9ms (cache hit)
npm http cache https://registry.npmjs.org/@cypress%2fxvfb 9ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fsizzle 8ms (cache hit)
npm http cache https://registry.npmjs.org/eventemitter2 6ms (cache hit)
npm http cache https://registry.npmjs.org/proxy-from-env 6ms (cache hit)
npm http cache https://registry.npmjs.org/supports-color 7ms (cache hit)
npm http cache https://registry.npmjs.org/@cypress%2frequest 9ms (cache hit)
npm http cache https://registry.npmjs.org/request-progress 6ms (cache hit)
npm http cache https://registry.npmjs.org/systeminformation 14ms (cache hit)
npm http cache https://registry.npmjs.org/is-installed-globally 6ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fsinonjs__fake-timers 6ms (cache hit)
npm http cache https://registry.npmjs.org/aws-sign2 11ms (cache hit)
npm http cache https://registry.npmjs.org/aws4 6ms (cache hit)
npm http cache https://registry.npmjs.org/caseless 6ms (cache hit)
npm http cache https://registry.npmjs.org/combined-stream 6ms (cache hit)
npm http cache https://registry.npmjs.org/extend 6ms (cache hit)
npm http cache https://registry.npmjs.org/forever-agent 5ms (cache hit)
npm http cache https://registry.npmjs.org/form-data 5ms (cache hit)
npm http cache https://registry.npmjs.org/http-signature 5ms (cache hit)
npm http cache https://registry.npmjs.org/is-typedarray 4ms (cache hit)
npm http cache https://registry.npmjs.org/isstream 6ms (cache hit)
npm http cache https://registry.npmjs.org/json-stringify-safe 4ms (cache hit)
npm http cache https://registry.npmjs.org/mime-types 5ms (cache hit)
npm http cache https://registry.npmjs.org/performance-now 5ms (cache hit)
npm http cache https://registry.npmjs.org/qs 4ms (cache hit)
npm http cache https://registry.npmjs.org/safe-buffer 3ms (cache hit)
npm http cache https://registry.npmjs.org/tough-cookie 4ms (cache hit)
npm http cache https://registry.npmjs.org/tunnel-agent 3ms (cache hit)
npm http cache https://registry.npmjs.org/uuid 3ms (cache hit)
npm http cache https://registry.npmjs.org/lodash.once 4ms (cache hit)
npm http cache https://registry.npmjs.org/base64-js 5ms (cache hit)
npm http cache https://registry.npmjs.org/ieee754 3ms (cache hit)
npm http cache https://registry.npmjs.org/ansi-styles 8ms (cache hit)
npm http cache https://registry.npmjs.org/restore-cursor 5ms (cache hit)
npm http cache https://registry.npmjs.org/string-width 8ms (cache hit)
npm http cache https://registry.npmjs.org/colors 6ms (cache hit)
npm http cache https://registry.npmjs.org/ms 4ms (cache hit)
npm http cache https://registry.npmjs.org/ansi-colors 4ms (cache hit)
npm http cache https://registry.npmjs.org/strip-ansi 4ms (cache hit)
npm http cache https://registry.npmjs.org/onetime 5ms (cache hit)
npm http cache https://registry.npmjs.org/is-stream 4ms (cache hit)
npm http cache https://registry.npmjs.org/get-stream 6ms (cache hit)
npm http cache https://registry.npmjs.org/cross-spawn 4ms (cache hit)
npm http cache https://registry.npmjs.org/signal-exit 3ms (cache hit)
npm http cache https://registry.npmjs.org/merge-stream 3ms (cache hit)
npm http cache https://registry.npmjs.org/npm-run-path 4ms (cache hit)
npm http cache https://registry.npmjs.org/human-signals 4ms (cache hit)
npm http cache https://registry.npmjs.org/strip-final-newline 4ms (cache hit)
npm http cache https://registry.npmjs.org/pify 4ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fyauzl 3ms (cache hit)
npm http cache https://registry.npmjs.org/escape-string-regexp 3ms (cache hit)
npm http cache https://registry.npmjs.org/jsonfile 3ms (cache hit)
npm http cache https://registry.npmjs.org/graceful-fs 4ms (cache hit)
npm http cache https://registry.npmjs.org/universalify 5ms (cache hit)
npm http cache https://registry.npmjs.org/at-least-node 4ms (cache hit)
npm http cache https://registry.npmjs.org/type-fest 6ms (cache hit)
npm http cache https://registry.npmjs.org/global-dirs 34ms (cache hit)
npm http cache https://registry.npmjs.org/is-path-inside 4ms (cache hit)
npm http cache https://registry.npmjs.org/rfdc 4ms (cache hit)
npm http cache https://registry.npmjs.org/rxjs 7ms (cache hit)
npm http cache https://registry.npmjs.org/p-map 5ms (cache hit)
npm http cache https://registry.npmjs.org/through 4ms (cache hit)
npm http cache https://registry.npmjs.org/colorette 5ms (cache hit)
npm http cache https://registry.npmjs.org/wrap-ansi 6ms (cache hit)
npm http cache https://registry.npmjs.org/log-update 8ms (cache hit)
npm http cache https://registry.npmjs.org/cli-truncate 6ms (cache hit)
npm http cache https://registry.npmjs.org/is-unicode-supported 6ms (cache hit)
npm http cache https://registry.npmjs.org/throttleit 5ms (cache hit)
npm http cache https://registry.npmjs.org/has-flag 6ms (cache hit)
npm http cache https://registry.npmjs.org/fd-slicer 7ms (cache hit)
npm http cache https://registry.npmjs.org/buffer-crc32 5ms (cache hit)
npm http cache https://registry.npmjs.org/delayed-stream 5ms (cache hit)
npm http cache https://registry.npmjs.org/hasown 8ms (cache hit)
npm http cache https://registry.npmjs.org/asynckit 6ms (cache hit)
npm http cache https://registry.npmjs.org/es-set-tostringtag 7ms (cache hit)
npm http cache https://registry.npmjs.org/sshpk 7ms (cache hit)
npm http cache https://registry.npmjs.org/jsprim 6ms (cache hit)
npm http cache https://registry.npmjs.org/assert-plus 6ms (cache hit)
npm http cache https://registry.npmjs.org/mime-db 6ms (cache hit)
npm http cache https://registry.npmjs.org/side-channel 6ms (cache hit)
npm http cache https://registry.npmjs.org/tldts 14ms (cache hit)
npm http cache https://registry.npmjs.org/color-convert 5ms (cache hit)
npm http cache https://registry.npmjs.org/color-name 5ms (cache hit)
npm http cache https://registry.npmjs.org/emoji-regex 6ms (cache hit)
npm http cache https://registry.npmjs.org/is-fullwidth-code-point 5ms (cache hit)
npm http cache https://registry.npmjs.org/ansi-regex 8ms (cache hit)
npm http cache https://registry.npmjs.org/which 4ms (cache hit)
npm http cache https://registry.npmjs.org/path-key 3ms (cache hit)
npm http cache https://registry.npmjs.org/shebang-command 4ms (cache hit)
npm http cache https://registry.npmjs.org/pump 4ms (cache hit)
npm http cache https://registry.npmjs.org/mimic-fn 3ms (cache hit)
npm http cache https://registry.npmjs.org/shebang-regex 4ms (cache hit)
npm http cache https://registry.npmjs.org/isexe 4ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fnode 27ms (cache hit)
